PLAYER;SALARY
James Ennis;$3,300,000 
Drew Eubanks;$1,620,564 
Dante Exum;$9,600,000 
Tacko Fall;$653,924
Derrick Favors;$9,258,000 
Cristiano Felicio;$7,529,020 
Terrance Ferguson;$2,512,282
Bruno Fernando;$1,517,981 
Yogi Ferrell;$214,169 
Dorian Finney-Smith;$4,000,000 
Malik Fitts;$61,528 
Malachi Flynn;$1,950,600 
Bryn Forbes;$2,337,145 
Trent Forrest;$470,690
Evan Fournier;$17,450,000 
De'Aaron Fox;$8,099,627 
Robert Franks;$99,020 
Tim Frazier;$255,294 
Markelle Fultz;$12,288,697 
Wenyen Gabriel;$1,620,564 
Daniel Gafford;$1,517,981 
Danilo Gallinari;$19,500,000 
Langston Galloway;$1,620,564 
Darius Garland;$6,720,720 
Marc Gasol;$2,564,753 
Rudy Gay;$14,500,000 
Paul George;$35,450,412 
Taj Gibson;$1,442,968 
Harry Giles;$1,620,564 
Shai Gilgeous-Alexander;$4,141,320 
Anthony Gill;$898,310 
Freddie Gillespie;$116,903 
Rudy Gobert;$27,525,281 
Brandon Goodwin;$1,701,593 
Aaron Gordon;$18,136,364 
Eric Gordon;$16,869,276 
Devonte' Graham;$1,663,861 
Jerami Grant;$19,050,000 
Danny Green;$15,365,854 
Draymond Green;$22,246,956 
JaMychal Green;$7,199,760 
Javonte Green;$1,517,981 
Jeff Green;$1,620,564 
Josh Green;$2,816,760 
Blake Griffin;$776,983 
Kyle Guy;$537,888
Rui Hachimura;$4,692,840 
Ashton Hagans;$166,111
Tyrese Haliburton;$3,831,840 
Donta Hall;$79,216 
Josh Hall;$449,115
R.J. Hampton;$2,193,480 
Tim Hardaway Jr.;$18,975,000 
James Harden;$41,254,920 
Maurice Harkless;$3,623,000 
Jared Harper;$99,020 
Montrezl Harrell;$9,258,000 
Gary Harris;$19,160,714 
Jalen Harris;$449,115
Joe Harris;$16,071,429 
Tobias Harris;$34,358,850 
Shaquille Harrison;$770,433
Josh Hart;$3,491,159 
Isaiah Hartenstein;$1,620,564 
Udonis Haslem;$1,620,564 
Jaxson Hayes;$5,105,160 
Killian Hayes;$5,307,120 
Gordon Hayward;$28,500,000 
Juancho Hernangomez;$6,493,000 
Willy Hernangomez;$1,620,564 
Tyler Herro;$3,822,240 
Buddy Hield;$24,971,851 
George Hill;$9,590,602 
Solomon Hill;$1,620,564 
Nate Hinton;$449,115
Jaylen Hoard;$129,209
Aaron Holiday;$2,345,640 
Jrue Holiday;$27,026,111 
Justin Holiday;$5,720,400 
Rondae Hollis-Jefferson;$210,895 
Richaun Holmes;$5,005,350 
Rodney Hood;$10,047,450 
Al Horford;$27,500,000 
Talen Horton-Tucker;$1,517,981 
Danuel House;$3,717,000 
Dwight Howard;$1,620,564 
Markus Howard;$535,294
Kevin Huerter;$2,761,920 
Elijah Hughes;$898,310 
De'Andre Hunter;$7,422,000 
Chandler Hutchison;$2,443,440 
Serge Ibaka;$9,258,000 
Andre Iguodala;$15,000,000 
Ersan Ilyasova;$754,783 
Joe Ingles;$10,863,637 
Brandon Ingram;$27,285,000 
Kyrie Irving;$33,722,850 
Wesley Iwundu;$1,678,854 
Frank Jackson;$250,000
Josh Jackson;$4,767,000 
Jaren Jackson, Jr.;$7,257,360 
Justin Jackson;$5,029,650
Reggie Jackson;$1,620,564 
Justin James;$1,517,981 
LeBron James;$39,219,566 
Mike James;$39,608 
DaQuan Jeffries;$1,445,697 
Ty Jerome;$2,303,040 
Isaiah Joe;$898,310 
Alize Johnson;$399,591 
Cameron Johnson;$4,235,160 
James Johnson;$16,047,100 
Keldon Johnson;$2,048,040 
Stanley Johnson;$3,804,150 
Tyler Johnson;$1,620,564 
Nikola Jokic;$29,542,010 
Damian Jones;$237,965 
Derrick Jones;$9,258,000 
Mason Jones;$61,528 
Tre Jones;$898,310 
Tyus Jones;$8,817,143 
DeAndre Jordan;$10,375,678 
Cory Joseph;$12,600,000 
Mfiondu Kabengele;$158,433 
Frank Kaminsky;$1,620,564 
Enes Kanter;$5,005,350 
Luke Kennard;$5,273,826 
Louis King;$49,222
Maxi Kleber;$8,475,000 
Nathan Knight;$522,989
Kevin Knox;$4,588,680 
John Konchar;$2,100,000 
Furkan Korkmaz;$1,762,796 
Luke Kornet;$2,250,000 
Rodions Kurucs;$768,148
Kyle Kuzma;$3,562,178 
Zach LaVine;$19,500,000 
Anthony Lamb;$215,330
Jeremy Lamb;$10,500,000 
Romeo Langford;$3,631,200 
Jake Layman;$3,761,085 
Caris LeVert;$16,203,704 
T.J. Leaf;$4,326,825
Jalen Lecque;$1,517,981
Damion Lee;$1,762,796 
Saben Lee;$516,836
Alex Len;$1,265,372 
Kawhi Leonard;$34,379,100 
Meyers Leonard;$9,400,000
Kira Lewis, Jr.;$3,640,200 
Damian Lillard;$31,626,953 
Nassir Little;$2,210,640 
Kevon Looney;$4,821,429 
Brook Lopez;$12,697,675 
Robin Lopez;$7,300,000 
Didi Louzada;$123,056 
Kevin Love;$31,258,256 
Kyle Lowry;$30,500,000 
Timothe Luwawu-Cabarrot;$1,824,003 
Trey Lyles;$5,500,000 
Will Magnay;$341,481
Thon Maker;$1,737,145
Theo Maledon;$2,000,000 
Karim Mane;$344,557
Terance Mann;$1,517,981 
Nico Mannion;$449,115
Boban Marjanovic;$3,500,000 
Lauri Markkanen;$6,731,508 
Naji Marshall;$120,000 
Caleb Martin;$1,517,981 
Cody Martin;$1,517,981 
Jeremiah Martin;$58,452
K.J. Martin;$898,310 
Kelan Martin;$1,445,697 
Frank Mason;$1,678,854
Garrison Mathews;$688,052
Dakota Mathias;$86,132
Wesley Matthews;$3,623,000 
Tyrese Maxey;$2,478,840 
Skylar Mays;$532,218
Patrick McCaw;$4,000,000
C.J. McCollum;$29,354,152 
T.J. McConnell;$3,500,000 
Jaden McDaniels;$1,964,760 
Jalen McDaniels;$1,517,981 
Doug McDermott;$7,333,333 
Sean McDermott;$449,115
JaVale McGee;$4,200,000 
Rodney McGruder;$5,192,307 
Alfonzo McKinnie;$1,762,796 
Jordan McLaughlin;$503,760
Ben McLemore;$455,090 
Nicolo Melli;$3,897,436 
De'Anthony Melton;$9,571,712 
Sam Merrill;$898,310 
Chimezie Metu;$700,000 
Khris Middleton;$33,051,724 
Darius Miller;$7,000,000
Patty Mills;$13,535,714 
Paul Millsap;$10,000,000 
Shake Milton;$1,701,593 
Donovan Mitchell;$5,195,501 
Adam Mokoka;$449,115
Malik Monk;$5,345,687 
E'Twaun Moore;$1,620,564 
Ja Morant;$9,166,800 
Juwan Morgan;$1,517,981 
Marcus Morris;$14,883,721 
Markieff Morris;$1,620,564 
Monte Morris;$1,723,707 
Mychal Mulder;$1,517,981 
Dejounte Murray;$14,286,000 
Jamal Murray;$27,285,000 
Mike Muscala;$2,283,034 
Svi Mykhailiuk;$1,663,861 
Abdel Nader;$1,752,950 
Larry Nance, Jr.;$11,709,091 
Aaron Nesmith;$3,458,400 
Raulzinho Neto;$1,620,564 
Georges Niang;$1,783,557 
Zeke Nnaji;$2,379,840 
Nerlens Noel;$5,000,000 
Jaylen Nowell;$1,517,981 
Frank Ntilikina;$6,176,578 
Kendrick Nunn;$1,663,861 
James Nunnally;$107,674
Jusuf Nurkic;$12,888,889 
David Nwaba;$1,824,003 
Jordan Nwora;$898,310 
Royce O'Neale;$8,500,000 
Semi Ojeleye;$1,752,950 
Jahlil Okafor;$1,882,867 
Chuma Okeke;$3,121,080 
Josh Okogie;$2,651,040 
Onyeka Okongwu;$5,813,640 
Isaac Okoro;$6,400,920 
KZ Okpala;$1,517,981 
Victor Oladipo;$21,000,000 
Cameron Oliver;$43,070 
Kelly Olynyk;$12,819,650 
Miye Oni;$1,517,981 
Cedi Osman;$8,840,580 
Daniel Oturu;$898,310 
Kelly Oubre, Jr.;$14,375,000 
Jabari Parker;$430,729 
Eric Paschall;$1,517,981 
Anzejs Pasecniks;$374,297
Patrick Patterson;$3,077,704 
Justin Patton;$267,623
Chris Paul;$41,358,814 
Cameron Payne;$1,977,011 
Gary Payton II;$110,998 
Elfrid Payton;$4,767,000 
Norvel Pelle;$500,000 
Reggie Perry;$489,148
Theo Pinson;$802,182
Mason Plumlee;$8,000,000 
Jakob Poeltl;$8,101,852 
Vincent Poirier;$1,686,339
Aleksej Pokusevski;$2,964,840 
Jordan Poole;$2,063,280 
Jontay Porter;$1,900,000 
Kevin Porter, Jr.;$1,717,981 
Michael Porter, Jr.;$3,550,800 
Otto Porter;$28,489,238 
Bobby Portis;$3,623,000 
Kristaps Porzingis;$29,467,800 
Dwight Powell;$11,080,125 
Norman Powell;$10,865,952 
Taurean Prince;$12,250,000 
Payton Pritchard;$2,035,800 
Immanuel Quickley;$2,105,520 
Jahmi'us Ramsey;$1,000,000 
Chasson Randle;$279,927
Julius Randle;$20,790,000 
Cam Reddish;$4,458,000 
J.J. Redick;$13,013,700 
Paul Reed, Jr.;$609,128 
Naz Reid;$1,517,981 
Cam Reynolds;$110,998 
Nick Richards;$1,000,000 
Josh Richardson;$10,865,952 
Grant Riller;$449,115
Austin Rivers;$188,696 
Andre Roberson;$110,998 
Duncan Robinson;$1,663,861 
Glenn Robinson;$1,165,322
Jerome Robinson;$3,737,520
Justin Robinson;$99,020 
Mitchell Robinson;$1,663,861 
Isaiah Roby;$1,517,981 
Rajon Rondo;$8,250,000 
Derrick Rose;$7,682,927 
Terrence Ross;$13,500,000 
Terry Rozier;$18,900,000 
Ricky Rubio;$17,000,000 
D'Angelo Russell;$28,649,250 
Domantas Sabonis;$19,800,000 
Luka Samanic;$2,824,320 
JaKarr Sampson;$1,620,564 
Dario Saric;$9,250,000 
Tomas Satoransky;$10,000,000 
Dennis Schroder;$16,000,000 
Mike Scott;$5,005,350 
Jayden Scrubb;$449,115
Collin Sexton;$4,991,880 
Landry Shamet;$2,090,040 
Iman Shumpert;$110,998 
Pascal Siakam;$30,559,200 
Chris Silva;$1,517,981
Ben Simmons;$30,559,200 
Anfernee Simons;$2,252,040 
Deividas Sirvydis;$898,310 
Alen Smailagic;$1,517,981 
Marcus Smart;$13,446,428 
Dennis Smith;$5,686,677 
Ish Smith;$6,000,000 
Jalen Smith;$4,245,720 
Tony Snell;$12,178,571 
Raymond Spalding;$289,156
Cassius Stanley;$470,690
Lamar Stevens;$652,366 
Isaiah Stewart II;$3,121,080 
Max Strus;$647,098
Edmond Sumner;$2,160,000 
Jae'sean Tate;$1,445,697 
Jayson Tatum;$9,897,120 
Jeff Teague;$510,589 
Garrett Temple;$4,767,000 
Tyrell Terry;$1,289,846 
Daniel Theis;$5,000,000 
Brodric Thomas;$412,202
Isaiah Thomas;$110,998 
Khyri Thomas;$250,000 
Matt Thomas;$1,517,981 
Tristan Thompson;$9,258,000 
Sindarius Thornwell;$110,998 
Matisse Thybulle;$2,711,280 
Killian Tillie;$449,115
Xavier Tillman, Sr.;$1,300,000 
Anthony Tolliver;$263,502 
Obi Toppin;$4,862,040 
Juan Toscano-Anderson;$358,295 
Axel Toupane;$196,872
Karl-Anthony Towns;$29,467,800 
Gary Trent, Jr.;$1,663,861 
P.J. Tucker;$7,969,537 
Rayjon Tucker;$690,000
Myles Turner;$18,000,000 
Jonas Valanciunas;$15,000,000 
Denzel Valentine;$4,642,800 
Fred VanVleet;$21,250,000 
Jarred Vanderbilt;$1,663,861 
Anderson Varejao;$110,998 
Devin Vassell;$4,033,440 
Gabe Vincent;$660,750
Noah Vonleh;$430,464
Nikola Vucevic;$26,000,000 
Dean Wade;$1,517,981 
Moe Wagner;$221,995 
Kemba Walker;$34,379,100 
Lonnie Walker;$2,892,000 
John Wall;$41,254,920 
Brad Wanamaker;$2,250,000 
T.J. Warren;$12,000,000 
P.J. Washington;$4,023,600 
Yuta Watanabe;$321,893 
Tremont Waters;$712,278
Paul Watson;$1,445,697 
Quinndary Weatherspoon;$449,115
Russell Westbrook;$41,358,814 
Coby White;$5,572,680 
Derrick White;$3,516,284 
Hassan Whiteside;$1,620,564 
Greg Whittington;$332,252
Andrew Wiggins;$29,542,010 
Grant Williams;$2,498,760 
Kenrich Williams;$2,000,000 
Lou Williams;$8,000,000 
Patrick Williams;$7,068,360 
Robert Williams;$2,029,920 
Zion Williamson;$10,245,480 
D.J. Wilson;$4,548,280 
Dylan Windler;$2,137,440 
Justise Winslow;$13,000,000 
Cassius Winston;$449,115
James Wiseman;$8,730,240 
Christian Wood;$13,015,874 
Robert Woodard II;$1,500,000 
Delon Wright;$9,000,000 
Thaddeus Young;$13,545,000 
Trae Young;$6,571,800 
Cody Zeller;$15,415,730 
Ivica Zubac;$7,000,000 
